mangled,demangled,tag,functor,scalar_type,source_file,num_instructions_sm75,max_gpr_sm75,min_gpr_sm75,max_pred_sm75,min_pred_sm75,max_ugpr_sm75,min_ugpr_sm75,num_instructions_sm80,max_gpr_sm80,min_gpr_sm80,max_pred_sm80,min_pred_sm80,max_ugpr_sm80,min_ugpr_sm80,num_instructions_sm86,max_gpr_sm86,min_gpr_sm86,max_pred_sm86,min_pred_sm86,max_ugpr_sm86,min_ugpr_sm86,num_instructions_sm90,max_gpr_sm90,min_gpr_sm90,max_pred_sm90,min_pred_sm90,max_ugpr_sm90,min_ugpr_sm90,num_instructions_sm100,max_gpr_sm100,min_gpr_sm100,max_pred_sm100,min_pred_sm100,max_ugpr_sm100,min_ugpr_sm100,num_instructions_sm103,max_gpr_sm103,min_gpr_sm103,max_pred_sm103,min_pred_sm103,max_ugpr_sm103,min_ugpr_sm103,num_instructions_sm120,max_gpr_sm120,min_gpr_sm120,max_pred_sm120,min_pred_sm120,max_ugpr_sm120,min_ugpr_sm120,is_simple_sm75,is_simple_sm80,is_simple_sm86,is_simple_sm90,is_simple_sm100,is_simple_sm103,is_simple_sm120
_ZN2at6native17simple_gpu_kernelILi342EZZZNS0_25kaiser_window_kernel_cudaERNS_18TensorIteratorBaseEldENKUlvE_clEvENKUlvE1_clEvEUlN3c104HalfEE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<342, at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",342,"at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}",c10::Half,UnarySpecialOpsKernel.cu,3120,123,63,7,0,4,0,3107,82,42,7,0,5,0,3111,83,43,7,0,5,0,3299,82,42,7,0,32,0,4634,105,54,7,0,32,0,4634,105,54,7,0,32,0,4358,106,54,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi342EZZZNS0_25kaiser_window_kernel_cudaERNS_18TensorIteratorBaseEldENKUlvE_clEvENKUlvE0_clEvEUlfE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<342, at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",342,"at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}",float,UnarySpecialOpsKernel.cu,3228,131,1,7,0,4,0,3218,91,1,7,0,5,0,3223,84,1,7,0,5,0,3409,84,1,7,0,32,0,4723,106,1,7,0,32,0,4800,106,1,7,0,32,0,4527,107,1,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi342EZZZNS0_25kaiser_window_kernel_cudaERNS_18TensorIteratorBaseEldENKUlvE_clEvENKUlvE_clEvEUldE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<342, at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul> >(at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul>)",342,"at::native::kaiser_window_kernel_cuda(at::TensorIteratorBase&, long, double)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}",double,UnarySpecialOpsKernel.cu,2520,122,58,7,0,4,0,2526,92,44,7,0,5,0,2530,90,42,7,0,5,0,2799,92,44,7,0,32,0,5291,108,52,7,0,32,0,11423,108,52,7,0,32,0,10982,109,52,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi311EZZZNS0_17erfcx_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE0_clEvEUlfE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<311, at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",311,at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1},float,UnarySpecialOpsKernel.cu,13556,44,20,7,0,4,0,13530,46,22,7,0,5,0,13534,44,20,7,0,5,0,23157,52,24,7,0,32,0,647,37,4,7,0,32,0,899,37,4,7,0,32,0,891,35,2,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi311EZZZNS0_17erfcx_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE_clEvEUldE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<311, at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul> >(at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul>)",311,at::native::erfcx_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1},double,UnarySpecialOpsKernel.cu,12918,52,24,7,0,4,0,12888,54,26,7,0,5,0,12892,52,24,7,0,5,0,22611,60,28,7,0,32,0,70,26,5,7,0,32,0,70,26,5,7,0,32,0,70,26,5,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi293EZZZNS0_18erfinv_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE2_clEvEUlN3c108BFloat16EE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<293, at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",293,at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1},c10::BFloat16,UnarySpecialOpsKernel.cu,153,34,18,4,0,0,0,123,20,10,1,0,2,0,123,31,18,3,0,2,0,128,22,10,1,0,2,0,128,22,10,1,0,2,0,128,22,10,1,0,2,0,128,32,18,2,0,2,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi293EZZZNS0_18erfinv_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE1_clEvEUlN3c104HalfEE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<293, at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",293,at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1},c10::Half,UnarySpecialOpsKernel.cu,129,34,18,1,0,0,0,123,20,10,1,0,2,0,123,31,18,3,0,2,0,126,22,10,1,0,2,0,126,22,10,1,0,2,0,126,22,10,1,0,2,0,126,32,18,2,0,2,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi293EZZZNS0_18erfinv_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE0_clEvEUlfE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<293, at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",293,at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1},float,UnarySpecialOpsKernel.cu,119,34,18,4,0,0,0,117,20,10,1,0,2,0,117,31,18,3,0,2,0,120,30,18,1,0,2,0,120,30,18,1,0,2,0,120,30,18,1,0,2,0,120,34,20,2,0,2,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi293EZZZNS0_18erfinv_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE_clEvEUldE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<293, at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul> >(at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1}, std::array<char*, 2ul>)",293,at::native::erfinv_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(double)#1},double,UnarySpecialOpsKernel.cu,638,60,32,7,0,4,0,632,60,32,7,0,5,0,632,60,32,7,0,5,0,1175,60,32,7,0,32,0,1172,60,32,7,0,32,0,2575,60,32,7,0,32,0,2283,60,32,7,0,32,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi274EZZZNS0_16erfc_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE2_clEvEUlN3c108BFloat16EE_St5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<274, at::native::erfc_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(at::native::erfc_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",274,at::native::erfc_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1},c10::BFloat16,UnarySpecialOpsKernel.cu,215,56,30,7,0,0,0,192,32,19,5,0,2,0,192,35,20,4,0,2,0,194,33,19,5,0,2,0,194,33,19,5,0,2,0,194,33,19,5,0,2,0,194,36,20,6,0,2,0,false,false,false,false,false,false,false
